CODE,Group,purity,TMB,HRD,LOH,MATH,MSI,NEO,ploidy,SampleName
BLCA,Tumor,0.21,5.72,32,0.527312548,44.23499305,0.3327,1,1.51,TCGA-XF-A9SI-01
BLCA,Tumor,0.93,67.66,3,0.020889884,15.39207207,0.3077,112,1.98,TCGA-DK-A6AW-01
BLCA,Tumor,0.85,2.88,20,0.135137009,36.88301146,0.3186,33,3.14,TCGA-FD-A62O-01
BLCA,Tumor,0.86,8.24,20,0.27249044,86.86291765,0.312,1,1.88,TCGA-LT-A5Z6-01
BLCA,Tumor,0.96,7.46,32,0.251583613,35.51689747,0.356,36,1.91,TCGA-FJ-A3ZE-01
BLCA,Tumor,0.82,1.44,33,0.075003912,63.49478099,0.3234,0,3.67,TCGA-ZF-A9RM-01
BLCA,Tumor,0.49,3.34,42,0.322848895,49.09140957,0.3174,5,3.28,TCGA-UY-A78L-01
BLCA,Tumor,0.58,3.2,21,0.249542642,48.55295348,0.2833,14,3.17,TCGA-DK-A2I1-01
BLCA,Tumor,0.36,1.32,23,0.297735175,46.6054343,0.3156,4,2.8,TCGA-FD-A62S-01
BLCA,Tumor,0.3,4.6,42,0.03280226,40.4620414,0.3312,1,5.87,TCGA-XF-AAMZ-01
BLCA,Tumor,0.69,3.26,7,0.128055861,26.35471952,0.3142,40,1.96,TCGA-FD-A3SM-01
BLCA,Tumor,0.74,7.56,74,0.237354127,68.835,0.3438,45,3.12,TCGA-E7-A85H-01
BLCA,Tumor,0.92,0.92,0,0.000376008,24.14967452,0.3072,2,2,TCGA-E7-A678-01
BLCA,Tumor,0.37,1.14,18,0.177891158,50.62536585,0.3094,1,3.34,TCGA-BT-A20X-01
BLCA,Tumor,0.95,0.66,4,0.144449755,19.62264706,0.328,0,1.98,TCGA-CF-A9FH-01
BLCA,Tumor,0.83,2.02,9,0.031648297,27.25367647,0.229,4,2.09,TCGA-FD-A3N6-01
BLCA,Tumor,0.94,0.66,7,0.067896889,53.13154286,0.3,2,2.01,TCGA-CF-A47T-01
BLCA,Tumor,0.32,9.3,55,0.408485401,48.714,0.3296,7,2.63,TCGA-4Z-AA7W-01
BLCA,Tumor,0.68,3.36,17,0.252313501,50.20945224,0.2858,2,3.36,TCGA-C4-A0F6-01
